Irradiance,Temperature,V_OC,I_SC,P_MP,V_MP,I_MP,V_1,I_1,V_2,I_2,D
500,31,67.286,4.5,229.34,55.332,4.1447,46.26,4.4,58.862,3.7,0.599907077
500,30,67.534,4.5,230.52,55.58,4.1477,46.492,4.4,59.166,3.7,0.598113846
500,29,67.786,4.5,231.72,55.826,4.1507,46.724,4.4,59.416,3.7,0.596335077
500,28,68.03,4.5,232.9,56.074,4.1536,47.156,4.4,59.72,3.7,0.594541846
500,27,68.276,4.5,234.1,56.322,4.1566,47.388,4.4,59.97,3.7,0.592748615
500,26,68.524,4.5,235.3,56.57,4.1595,47.82,4.4,60.272,3.7,0.590955385
500,25,68.77,4.5,236.5,56.92,4.1548,48.052,4.4,60.524,3.7,0.588424615
500,24,69.022,4.5,237.68,57.064,4.1653,48.484,4.4,60.826,3.7,0.587383385
500,23,69.264,4.5,238.88,57.416,4.1606,48.716,4.4,61.076,3.7,0.584838154
500,22,69.514,4.5,240.08,57.56,4.171,48.948,4.4,60.724,3.8,0.583796923
500,21,69.76,4.5,241.28,57.808,4.1738,49.38,4.4,60.974,3.8,0.582003692
500,20,70.004,4.5,242.48,58.056,4.1766,49.612,4.4,61.284,3.8,0.580210462
